ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu Vang Pháp Laurent Ponsot Chambolle-Musigny Cuvée De La Violette 2020,3.806.000 ₫,Pinot Noir,Laurent Ponsot,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/ruou-vang-phap-chambolle-musigny-cuvee-de-la-violette-2020/
Rượu vang Pháp Laurent Ponsot Gevrey-Chambertin Cuvée De l’Aulne 2019,3.619.000 ₫,Pinot Noir,Laurent Ponsot,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-cuvee-de-laulne-2019/
Rượu Vang Pháp Laurent Ponsot Gevrey-Chambertin Cuvée De l’Aulne 2020,3.619.000 ₫,Pinot Noir,Laurent Ponsot,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/ruou-vang-phap-gevrey-chambertin-cuvee-de-laulne-2020/
Rượu vang Pháp Louis Latour Bourgogne Pinot Noir,1.199.000 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-bourgogne-pinot-noir/
Rượu vang Tây Ban Nha Bela Ribera Del Duero,891.000 ₫,Tempranillo,CVNE,Vang Tây Ban Nha,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/bela-ribera-del-duero/
Rượu vang Tây Ban Nha Muga Reserva 2016 3L,6.919.000 ₫,Blend,Bodegas Muga,Vang Tây Ban Nha,14% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/muga-reserva-2016-3l/
Rượu vang Tây Ban Nha Muga Reserva 2016 5L,10.978.000 ₫,Blend,Bodegas Muga,Vang Tây Ban Nha,14% ABV*,5L,Rượu Vang Đỏ,https://winecellar.vn/vang-tay-ban-nha/muga-reserva-2016-5l/
Rượu Vang Úc Torbreck The Struie 2021,2.849.000 ₫,Syrah,Torbreck,Vang Úc,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-uc/torbreck-the-struie-2021/
Rượu Vang Úc Torbreck Woodcutter’s Shiraz,1.177.000 ₫,Syrah,Torbreck,Vang Úc,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-uc/torbreck-woodcutters-shiraz/
Rượu Vang Ý Gemma Di Luna Vino d’Italia Rosso (Red Gem),594.000 ₫,Blend,Gemma Di Luna,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/gemma-di-luna-vino-ditalia-rosso-red-gem/
Rượu Vang Ý Grattamacco Bolgheri Superiore 2015,10.120.000 ₫,Blend,Grattamacco,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/grattamacco-bolgheri-superiore-2015/
Rượu Vang Ý Grattamacco Bolgheri Superiore 2015 1.5L,19.503.000 ₫,Blend,Grattamacco,Vang Ý (Italy),14% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/grattamacco-bolgheri-superiore-2015-1500ml/
Rượu Vang Ý Grattamacco Bolgheri Superiore 2016,9.317.000 ₫,Blend,Grattamacco,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/grattamacco-bolgheri-superiore-2016/
Rượu Vang Ý Grattamacco Bolgheri Superiore 2018 1.5L,16.940.000 ₫,Blend,Grattamacco,Vang Ý (Italy),14.5% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/grattamacco-bolgheri-superiore-2018-1500ml/
Rượu Vang Ý Grattamacco Bolgheri Superiore 2020,5.989.500 ₫,Blend,Grattamacco,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/grattamacco-bolgheri-superiore-2020/
Rượu Vang Ý Grattamacco Bolgheri Superiore 2021,5.989.500 ₫,Blend,Grattamacco,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/grattamacco-bolgheri-superiore-2021/
Rượu Vang Ý L’Alberello Toscana 2021,3.663.000 ₫,Blend,Grattamacco,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/lalberello-toscana-2021/
Rượu vang Ý Le Mortelle Botrosecco 2018 3L,4.807.000 ₫,Blend,Le Mortelle,Vang Ý (Italy),14% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-mortelle-botrosecco-2018-3l/
Rượu Vang Ý Le Mortelle Botrosecco 2020 1.5L,2.233.000 ₫,Blend,Le Mortelle,Vang Ý (Italy),14% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/mortelle-botrosecco-2020-1500ml/
Rượu Vang Ý Le Mortelle Botrosecco 2020 3L,4.807.000 ₫,Blend,Le Mortelle,Vang Ý (Italy),14% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-mortelle-botrosecco-2020-3l/
Rượu Vang Ý Le Mortelle Botrosecco 2021 3L,4.807.000 ₫,Blend,Le Mortelle,Vang Ý (Italy),14% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/le-mortelle-botrosecco-2021-3l/
Rượu vang Ý Luce La Vite Lucente 2020,1.551.000 ₫,Blend,Tenuta Luce,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/luce-la-vite-lucente-2020/
Rượu vang Ý Luce La Vite Lucente 2021,1.551.000 ₫,Blend,Tenuta Luce,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/luce-la-vite-lucente-2021/
Rượu vang Ý Luce La Vite Lucente 2022,1.551.000 ₫,Blend,Tenuta Luce,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/luce-la-vite-lucente-2022/
Rượu Vang Ý Poggio Di Sotto Brunello Di Montalcino 2016,18.101.600 ₫,Sangiovese,Poggio Di Sotto,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-di-sotto-brunello-di-montalcino-2016/
Rượu Vang Ý Poggio Di Sotto Brunello Di Montalcino 2017,13.249.500 ₫,Sangiovese,Poggio Di Sotto,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-di-sotto-brunello-di-montalcino-2017/
Rượu Vang Ý Poggio Di Sotto Brunello Di Montalcino 2018,11.176.000 ₫,Sangiovese,Poggio Di Sotto,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-di-sotto-brunello-di-montalcino-2018/
Rượu Vang Ý Poggio Di Sotto Brunello Di Montalcino 2019,11.176.000 ₫,Sangiovese,Poggio Di Sotto,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-di-sotto-brunello-di-montalcino-2019/
Rượu Vang Ý Poggio Di Sotto Brunello Di Montalcino Riserva 2018,18.634.000 ₫,Sangiovese,Poggio Di Sotto,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-di-sotto-brunello-di-montalcino-riserva-2018/
Rượu Vang Ý Poggio Di Sotto Rosso Di Montalcino 2020,3.993.000 ₫,Sangiovese,Poggio Di Sotto,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-di-sotto-rosso-di-montalcino/
Rượu Vang Ý Poggio Di Sotto Rosso Di Montalcino 2021,3.993.000 ₫,Sangiovese,Poggio Di Sotto,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/poggio-di-sotto-rosso-di-montalcino-2021/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Monopole 2019,9.449.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-monopole-2019/
Rượu Vang Cá Chép Đen,2.299.000 ₫,Montepulciano D'abruzzo,Collefrisio,Vang Ý (Italy),16% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/ruou-vang-ca-chep-den-2018/
Rượu Vang Cá Chép Vàng,1.996.500 ₫,Montepulciano D'abruzzo,Collefrisio,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/ruou-vang-ca-chep-vang/
Rượu Vang Chile Prelude Clos Apalta 2022,1.887.600 ₫,Blend,Clos Apalta,Vang Chile,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-chile/prelude-clos-apalta-2022/
Rượu vang đỏ không cồn Cantina Zaccagnini De-Alcoholised Wine Red,475.200 ₫,Bacca Rossa,Cantina Zaccagnini,Vang Ý (Italy),0% ABV,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/ruou-vang-do-khong-con-cantina-zaccagnini-de-alcoholised-wine-red/
Rượu Vang Không Cồn Oh Là Là,594.000 ₫,Bordeaux Blend,Vignobles Meyre,Vang Pháp,0% ABV,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/ruou-vang-khong-con-oh-la-la/
Rượu Vang Mỹ My Favorite Neighbor Cabernet Sauvignon 2021,2.200.000 ₫,Cabernet Sauvignon,My Favorite Neighbor,Vang Mỹ,14.8% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-my/my-favorite-neighbor-cabernet-sauvignon/
Rượu Vang Pháp 350o de Bellevue 2019,1.512.500 ₫,Bordeaux Blend,Pradel de Lavaux,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/350o-de-bellevue/
Rượu Vang Pháp Bacchus De Dauzac,1.573.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/bacchus-de-dauzac/
Rượu Vang Pháp Château Ballue Mondon Bordeaux Supérieur,539.000 ₫,Bordeaux Blend,Domaines Fontana,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-ballue-mondon-bordeaux-superieur/
Rượu Vang Pháp Château Bellevue Claribés Prestige Bordeaux Supérieur,726.000 ₫,Bordeaux Blend,Domaines Fontana,Vang Pháp,15.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-bellevue-claribes-prestige-bordeaux-superieur/
Rượu Vang Pháp Château de Ferrand Saint-Émilion Grand Cru 2018,2.117.500 ₫,Bordeaux Blend,Château de Ferrand,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-ferrand-saint-emilion-grand-cru-2018/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Chantrerie 2020,7.667.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-chantrerie-2020/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Grands Esprits 2020,5.313.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-grands-esprits-2020/
Rượu Vang Pháp Château Du Fort Pontus 2019,715.000 ₫,Merlot,Pradel de Lavaux,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-du-fort-pontus-2019/
Rượu Vang Pháp Château La Diligente 2020,605.000 ₫,Bordeaux Blend,Château La Diligente,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-la-diligente-2020/
Rượu Vang Pháp Château La Renaissance 2020,1.727.000 ₫,Bordeaux Blend,Pradel de Lavaux,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-la-renaissance-2020/
Rượu Vang Pháp Château Lafleur du Roy 2020,1.309.000 ₫,Blend,Château Lafleur du Roy,Vang Pháp,14% ABV*,,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-lafleur-du-roy-2020/
Rượu Vang Pháp Château Laroze Saint-Émilion Grand Cru 2015,2.354.000 ₫,Bordeaux Blend,Château Laroze,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-laroze-saint-emilion-grand-cru-2015/
Rượu Vang Pháp Château Laroze Saint-Émilion Grand Cru 2018,2.354.000 ₫,Bordeaux Blend,Château Laroze,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-laroze-saint-emilion-grand-cru-2018/
Rượu Vang Pháp Château Laroze Saint-Émilion Grand Cru 2023,2.354.000 ₫,Bordeaux Blend,Château Laroze,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-laroze-saint-emilion-grand-cru-2023/
Rượu Vang Pháp La Fleur Laroze 2022,1.760.000 ₫,Bordeaux Blend,Château Laroze,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/la-fleur-laroze-2022/
Rượu Vang Pháp Château Laroze Saint-Émilion Grand Cru 2016,2.354.000 ₫,Bordeaux Blend,Château Laroze,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-laroze-saint-emilion-grand-cru-2016/
Rượu Vang Pháp Château Odilon,968.000 ₫,Blend,Château Odilon,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-odilon/
Rượu Vang Pháp Château Saint-Jean 2022,580.800 ₫,Bordeaux Blend,Château Saint-Jean,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-saint-jean-2022/
Rượu Vang Pháp Château Tauzinat L’Hermitage 2020,1.391.500 ₫,Bordeaux Blend,Bernard Moueix,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-tauzinat-lhermitage-2020/
Rượu Vang Pháp Domaine De Pallus La Croix Boissée 2018,3.327.500 ₫,Cabernet Franc,Domaine De Pallus,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-pallus-la-croix-boissee-2018/
Rượu Vang Pháp Domaine De Pallus La Rougerie 2018,4.472.600 ₫,Cabernet Franc,Domaine De Pallus,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-pallus-la-rougerie-2018/
Rượu Vang Pháp Domaine De Pallus Le Clos De Pallus 2018,1.771.000 ₫,Cabernet Franc,Domaine De Pallus,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-pallus-le-clos-de-pallus-2018/
Rượu Vang Pháp Domaine De Pallus Les Pensées De Pallus,1.320.000 ₫,Cabernet Franc,Domaine De Pallus,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-pallus-les-pensees-de-pallus/
Rượu vang Pháp Domaine Dujac Morey-Saint-Denis 2018,9.548.000 ₫,Pinot Noir,Domaine Dujac,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-dujac-morey-saint-denis-2018/
Rượu Vang Pháp Domaine Hubert Lamy Santenay Clos Des Hâtes 2021,3.729.000 ₫,Pinot Noir,Hubert Lamy,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-hubert-lamy-santenay-clos-des-hates-2021/
Rượu Vang Pháp Domaine Maurice Vosne-Romanée 2020,5.456.000 ₫,Pinot Noir,Domaine Gavignet,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-maurice-vosne-romanee/
Rượu Vang Pháp Château Martinet 2020,1.391.500 ₫,Bordeaux Blend,Pradel de Lavaux,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-martinet-2020/
Rượu vang Pháp Les Pélerins De Lafon-Rochet 2019,1.595.000 ₫,Bordeaux Blend,Château Lafon-Rochet,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/les-pelerins-de-lafon-rochet-2019/
Rượu vang Pháp Les Pélerins De Lafon-Rochet 2020,1.595.000 ₫,Bordeaux Blend,Château Lafon-Rochet,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/les-pelerins-de-lafon-rochet-2020/
Rượu vang Pháp Les Pélerins De Lafon-Rochet 2022,1.595.000 ₫,Bordeaux Blend,Château Lafon-Rochet,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/les-pelerins-de-lafon-rochet-2022/
Rượu Vang Pháp Marquis de Beylot 2022,396.000 ₫,Bordeaux Blend,Pradel de Lavaux,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/marquis-de-beylot-2022/
Rượu Vang Ý Cantina Zaccagnini Montepulciano d’Abruzzo,665.500 ₫,Montepulciano D'abruzzo,Cantina Zaccagnini,Vang Ý (Italy),13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cantina-zaccagnini-montepulciano-dabruzzo/
Rượu Vang Ý Cantina Zaccagnini Montepulciano d’Abruzzo Riserva,798.600 ₫,Montepulciano D'abruzzo,Cantina Zaccagnini,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cantina-zaccagnini-montepulciano-dabruzzo-riserva/
Rượu Vang Ý CF Collefrisio B&B Vino Rosso,883.300 ₫,Blend,Collefrisio,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cf-collefrisio-bb-vino-rosso/
Rượu Vang Ý CF Collefrisio Montepulciano d’Abruzzo 2022,594.000 ₫,Montepulciano D'abruzzo,Collefrisio,Vang Ý (Italy),13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cf-collefrisio-montepulciano-dabruzzo/
Rượu Vang Ý CF Collefrisio Morrecine Montepulciano D’abruzzo 2022,594.000 ₫,Montepulciano D'abruzzo,Collefrisio,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cf-collefrisio-morrecine-montepulciano-dabruzzo/
Rượu Vang Ý CF Collefrisio Viquadra Montepulciano D’Abruzzo,847.000 ₫,Montepulciano D'abruzzo,Collefrisio,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cf-collefrisio-viquadra/
Rượu Vang Ý CF Ten Vintages,2.299.000 ₫,Montepulciano D'abruzzo,Collefrisio,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cf-collefrisio-limited-edition-ten-vintages-2017/
Rượu vang Ý Tenuta Calimaia Vino Nobile Di Montepulciano 2019,1.463.000 ₫,Sangiovese,Marchesi Frescobaldi,Vang Ý (Italy),14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/tenuta-calimaia-vino-nobile-di-montepulciano-2019/
Rượu Vang Pháp Château Lynch Moussas 2011,3.630.000 ₫,Bordeaux Blend,Château Lynch Moussas,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-lynch-moussas-2011/
Rượu Vang Pháp Château Lynch Moussas 2016,3.388.000 ₫,Bordeaux Blend,Château Lynch Moussas,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-lynch-moussas-2016/
Rượu Vang Pháp Château Lynch Moussas 2021,3.058.000 ₫,Bordeaux Blend,Château Lynch Moussas,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-lynch-moussas-2021/
Rượu Vang Pháp Château Lynch Moussas 2023,3.388.000 ₫,Bordeaux Blend,Château Lynch Moussas,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-lynch-moussas-2023/
Rượu Vang Pháp Margaux by Tertre 2022,1.749.000 ₫,Bordeaux Blend,Château Du Tertre,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/margaux-by-tertre/
Rượu Vang Pháp Château Lynch Moussas 2019,3.388.000 ₫,Bordeaux Blend,Château Lynch Moussas,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-lynch-moussas-2019/
Rượu Vang Pháp Château Lynch Moussas 2019 1.5L,6.776.000 ₫,Bordeaux Blend,Château Lynch Moussas,Vang Pháp,14% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-lynch-moussas-2019-1500ml/
Rượu vang Pháp Closerie Saint Roc 2016,1.887.600 ₫,Bordeaux Blend,Famille Amoreau,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/closerie-saint-roc/
Rượu vang Pháp Brio de Cantenac Brown 2018,1.804.000 ₫,Bordeaux Blend,Château Cantenac Brown,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/brio-de-cantenac-brown-2018/
Rượu vang Pháp Château Badette 2020,1.991.000 ₫,Bordeaux Blend,Château Badette,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-badette-2020/
Rượu vang Pháp Château Badette 2021,1.991.000 ₫,Bordeaux Blend,Château Badette,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-badette-2021/
Rượu Vang Pháp Château Olivier 2019,2.662.000 ₫,Bordeaux Blend,Château Olivier,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-olivier-2019/
Rượu Vang Pháp Château Pédesclaux 2020,2.772.000 ₫,Bordeaux Blend,Château Pédesclaux,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pedesclaux-2020/
Rượu Vang Pháp Chateau Pédesclaux 2018 3L,15.246.000 ₫,Bordeaux Blend,Château Pédesclaux,Vang Pháp,14% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pedesclaux-2018-3l/
Rượu Vang Pháp Chateau Pédesclaux 2020 3L,14.520.000 ₫,Bordeaux Blend,Château Pédesclaux,Vang Pháp,14% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pedesclaux-2020-3l/
Rượu vang Pháp Château Batailley 2014,3.894.000 ₫,Bordeaux Blend,Château Batailley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-batailley-2014/
Rượu vang Pháp Château La Dominique 2014,3.322.000 ₫,Bordeaux Blend,Château La Dominique,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-la-dominique-2014/
Rượu Vang Pháp Château Dauzac 2016,3.388.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-2016/
Rượu vang Pháp Brio de Cantenac Brown 2019,1.804.000 ₫,Bordeaux Blend,Château Cantenac Brown,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/brio-de-cantenac-brown-2019/
Rượu Vang Pháp Château La Vieille Cure 2018,1.727.000 ₫,Bordeaux Blend,Château La Vieille Cure,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-la-vieille-cure-2018/
Rượu vang Pháp Château Dauzac 2012,3.388.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-2012/
Rượu Vang Pháp Château Dauzac 2015,3.388.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-margaux/
Rượu Vang Pháp Château Dauzac 2015 3L,16.500.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,14% ABV*,3L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-2015-3l/
Rượu Vang Pháp Château Dauzac 2017,3.388.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-2017/
Rượu Vang Pháp Château Dauzac 2019,3.388.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-2019/
Rượu Vang Pháp Château Dauzac 2020,3.388.000 ₫,Blend,Château Dauzac,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-dauzac-2020/
Rượu vang Pháp Château Fleur Cardinale 2014,3.212.000 ₫,Bordeaux Blend,Château Fleur Cardinale,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-fleur-cardinale-2014/
